epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6116666793823242,0.6950361132621765,0.6007652878761292,0.6166666746139526,0.6058889031410217,0.6392135620117188
1,0.6274999976158142,0.7298040986061096,0.5478682518005371,0.6000000238418579,0.6292444467544556,0.6220695972442627
2,0.6708333492279053,0.759308397769928,0.522736668586731,0.6333333253860474,0.7085999846458435,0.567003071308136
3,0.6433333158493042,0.7422777414321899,0.5257245898246765,0.6133333444595337,0.7248888611793518,0.5340346693992615
4,0.6600000262260437,0.7693208456039429,0.5115715265274048,0.5833333134651184,0.7128221988677979,0.5393242239952087
5,0.6549999713897705,0.7639971375465393,0.5107854604721069,0.6333333253860474,0.7679110765457153,0.5075106024742126
6,0.6741666793823242,0.7912944555282593,0.48981907963752747,0.6566666960716248,0.7687555551528931,0.48972830176353455
7,0.690833330154419,0.8008055686950684,0.47725650668144226,0.6233333349227905,0.7603555917739868,0.48099425435066223
8,0.7049999833106995,0.8254944086074829,0.46523624658584595,0.6333333253860474,0.7842666506767273,0.49330079555511475
9,0.7308333516120911,0.8362153172492981,0.4574376046657562,0.6399999856948853,0.7809333205223083,0.47247105836868286
10,0.7174999713897705,0.8339166641235352,0.4521787464618683,0.6566666960716248,0.7841110825538635,0.46902716159820557
11,0.7316666841506958,0.8426681160926819,0.4415176510810852,0.6166666746139526,0.7675111293792725,0.5008395910263062
12,0.7291666865348816,0.8422847390174866,0.43756118416786194,0.6233333349227905,0.7858666777610779,0.4730064272880554
13,0.7383333444595337,0.8569777011871338,0.4231968820095062,0.6233333349227905,0.7816666960716248,0.5056150555610657
14,0.7508333325386047,0.8620805740356445,0.4170040190219879,0.6600000262260437,0.7723999619483948,0.5696010589599609
15,0.7641666531562805,0.8771999478340149,0.403427392244339,0.6266666650772095,0.7675110697746277,0.5117329955101013
16,0.7633333206176758,0.8752541542053223,0.40162962675094604,0.5933333039283752,0.7626444697380066,0.5354785323143005
17,0.76583331823349,0.8806792497634888,0.39455917477607727,0.5933333039283752,0.766955554485321,0.5753781199455261
18,0.79666668176651,0.897895872592926,0.3778793513774872,0.6000000238418579,0.7613778710365295,0.5887779593467712
19,0.7808333039283752,0.89193195104599,0.38138315081596375,0.5933333039283752,0.7623555660247803,0.5850248336791992
20,0.7991666793823242,0.9055806398391724,0.3673800826072693,0.5866666436195374,0.7639332413673401,0.6116433143615723
21,0.7958333492279053,0.898979127407074,0.37072518467903137,0.5799999833106995,0.7611554861068726,0.613968014717102
22,0.7799999713897705,0.9019333124160767,0.3655698001384735,0.5833333134651184,0.760511040687561,0.6188377141952515
23,0.8008333444595337,0.9068722128868103,0.3638375997543335,0.5933333039283752,0.7605111002922058,0.6381664276123047
24,0.7991666793823242,0.9064554572105408,0.3639694154262543,0.5866666436195374,0.7571333646774292,0.6276565790176392
25,0.8033333420753479,0.9065694808959961,0.3586094379425049,0.5799999833106995,0.757888913154602,0.642044186592102
26,0.7958333492279053,0.9072389006614685,0.35699811577796936,0.5899999737739563,0.7584666013717651,0.6516600847244263
27,0.8016666769981384,0.9090889096260071,0.35622501373291016,0.5933333039283752,0.7590667009353638,0.6545603275299072
28,0.809166669845581,0.9134902954101562,0.3505566716194153,0.5866666436195374,0.7583777904510498,0.6539933681488037
29,0.8100000023841858,0.9087041616439819,0.35769960284233093,0.5866666436195374,0.7579778432846069,0.6547298431396484
