epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5858333110809326,0.5800874829292297,1.3936257362365723,0.5066666603088379,0.6182222366333008,1.7875087261199951
1,0.6191666722297668,0.6694291830062866,0.6016931533813477,0.6600000262260437,0.6871554851531982,0.6566525101661682
2,0.6266666650772095,0.6608458757400513,0.5966878533363342,0.6033333539962769,0.6033333539962769,0.6287932991981506
3,0.6291666626930237,0.6537249684333801,0.5981748104095459,0.503333330154419,0.5982444286346436,0.6731954216957092
4,0.5941666960716248,0.6146402359008789,0.6312569379806519,0.6233333349227905,0.6558889150619507,0.6218973398208618
5,0.6291666626930237,0.6482610702514648,0.5959649085998535,0.6033333539962769,0.6033333539962769,0.6159355044364929
6,0.6233333349227905,0.65426105260849,0.5861668586730957,0.6033333539962769,0.6764222383499146,0.6082449555397034
7,0.6266666650772095,0.624833345413208,0.5942636728286743,0.6033333539962769,0.5968888401985168,0.6264803409576416
8,0.6258333325386047,0.6706069707870483,0.6022060513496399,0.6033333539962769,0.5605777502059937,0.650814414024353
9,0.512499988079071,0.5441749691963196,0.6954741477966309,0.5,0.6543777585029602,0.6688490509986877
10,0.5008333325386047,0.5718833804130554,0.6823968291282654,0.476666659116745,0.5775778293609619,0.6910355687141418
11,0.5841666460037231,0.5885388255119324,0.6642664670944214,0.6033333539962769,0.5915777087211609,0.6553991436958313
12,0.596666693687439,0.604093074798584,0.6689702272415161,0.6233333349227905,0.6307111382484436,0.6551092267036438
13,0.6083333492279053,0.616830587387085,0.6615501046180725,0.6166666746139526,0.6350222826004028,0.6521406173706055
14,0.5950000286102295,0.6067402362823486,0.660265326499939,0.6066666841506958,0.6130666732788086,0.6536354422569275
15,0.5958333611488342,0.5930749773979187,0.6655060052871704,0.6266666650772095,0.6371334195137024,0.6512119174003601
16,0.6016666889190674,0.6104750037193298,0.6601559519767761,0.6233333349227905,0.6256666779518127,0.6518206000328064
17,0.6050000190734863,0.6170722246170044,0.6545680165290833,0.6200000047683716,0.6292444467544556,0.6550052165985107
18,0.6083333492279053,0.6144139170646667,0.6573643088340759,0.6133333444595337,0.6264222264289856,0.6549351215362549
19,0.5983333587646484,0.5994388461112976,0.6639043688774109,0.6233333349227905,0.6260000467300415,0.6531509160995483
20,0.5924999713897705,0.596947193145752,0.6656988859176636,0.6233333349227905,0.6270000338554382,0.6522083282470703
21,0.6000000238418579,0.6047958731651306,0.6592981219291687,0.6200000047683716,0.6267111301422119,0.6522489786148071
22,0.6033333539962769,0.6084902882575989,0.6543346047401428,0.6133333444595337,0.6233778595924377,0.6530908942222595
23,0.6058333516120911,0.6135958433151245,0.656946063041687,0.6133333444595337,0.6281111836433411,0.6533361077308655
24,0.5975000262260437,0.6040819883346558,0.654927670955658,0.6166666746139526,0.6271778345108032,0.653383195400238
25,0.590833306312561,0.5967763662338257,0.6591773629188538,0.6200000047683716,0.6272444725036621,0.6533141136169434
26,0.6083333492279053,0.6135749816894531,0.6511264443397522,0.6200000047683716,0.6282000541687012,0.6538986563682556
27,0.6100000143051147,0.6118472218513489,0.6519737839698792,0.6166666746139526,0.6234223246574402,0.6538220643997192
28,0.5983333587646484,0.6019638180732727,0.6552923321723938,0.6166666746139526,0.6278666853904724,0.653886079788208
29,0.5991666913032532,0.6034957766532898,0.65797358751297,0.6166666746139526,0.6279778480529785,0.6538731455802917
