epoch,accuracy,auc,duration,loss,ram_usage,val_accuracy,val_auc,val_loss
0,0.500629723072052,0.5091167092323303,21.96485662460327,0.8474792242050171,1947.6875,0.5050251483917236,0.5227898359298706,0.6942384243011475
1,0.5686398148536682,0.6204643249511719,1.555443286895752,0.6651074290275574,2028.6875,0.4974874258041382,0.5298603177070618,0.753497302532196
2,0.6196473836898804,0.6765167713165283,1.5399158000946045,0.6371010541915894,2030.16796875,0.5,0.5576500296592712,1.566625952720642
3,0.6630982160568237,0.7269508838653564,1.5370991230010986,0.6047783493995667,2030.1796875,0.5,0.574631929397583,2.273228168487549
4,0.6819899082183838,0.7614389061927795,1.536877155303955,0.5712655782699585,2031.00390625,0.5,0.5231055021286011,2.901752471923828
5,0.7122166156768799,0.7940170764923096,1.5788936614990234,0.5397993326187134,2032.5078125,0.5,0.526274561882019,3.048609495162964
6,0.7103274464607239,0.7953677773475647,1.5483171939849854,0.5329733490943909,2033.27734375,0.5,0.5827504992485046,2.6473824977874756
7,0.73740553855896,0.8345446586608887,1.646045446395874,0.4960188865661621,2033.296875,0.5,0.5570692420005798,2.9025356769561768
8,0.766372799873352,0.8499205112457275,1.609633207321167,0.4777052700519562,2034.78125,0.5050251483917236,0.6099719405174255,1.774726390838623
9,0.7714105844497681,0.8679627776145935,1.5621821880340576,0.4545448422431946,2034.80078125,0.5100502371788025,0.6157293915748596,1.6364072561264038
10,0.8085642457008362,0.8822901248931885,1.5881543159484863,0.4339660704135895,2052.92578125,0.5125628113746643,0.5972450375556946,1.2649472951889038
11,0.8110831379890442,0.8971949815750122,1.5716469287872314,0.41700610518455505,2053.0078125,0.5025125741958618,0.5833186507225037,1.0376112461090088
12,0.7877833843231201,0.8839811086654663,1.5350961685180664,0.4268273413181305,2053.015625,0.4974874258041382,0.5728895664215088,1.0708374977111816
13,0.8041561841964722,0.9000207185745239,1.546726942062378,0.41084226965904236,2053.0234375,0.4974874258041382,0.5634580254554749,0.9345248937606812
14,0.8180100917816162,0.9046738743782043,1.7655832767486572,0.40215322375297546,2053.02734375,0.49497488141059875,0.5611726641654968,0.9818819761276245
15,0.8180100917816162,0.9078788161277771,2.627086639404297,0.4006221294403076,2053.7734375,0.5125628113746643,0.5529658198356628,0.8914813995361328
16,0.8324937224388123,0.9141649603843689,1.5984790325164795,0.3909362852573395,2053.78515625,0.5,0.5474483370780945,0.8943253755569458
17,0.8293451070785522,0.9203162789344788,1.562635898590088,0.3838635981082916,2053.79296875,0.4974874258041382,0.5490265488624573,0.8985341787338257
18,0.8230478763580322,0.9189798831939697,1.5519688129425049,0.38396960496902466,2053.80078125,0.49497488141059875,0.549291729927063,0.9145955443382263
19,0.8337531685829163,0.9167084693908691,1.5763866901397705,0.38601619005203247,2053.80859375,0.5075376629829407,0.5462236404418945,0.9019387364387512
20,0.8406801223754883,0.9260162711143494,1.5380330085754395,0.3766278028488159,2053.81640625,0.48241207003593445,0.5472083687782288,0.9227021932601929
