epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6108333468437195,0.6635193824768066,0.7382053732872009,0.6033333539962769,0.5124222040176392,0.9175013303756714
1,0.6358333230018616,0.7204444408416748,0.5991830229759216,0.6000000238418579,0.5290222764015198,0.7181100845336914
2,0.637499988079071,0.7264778017997742,0.5788632035255432,0.6499999761581421,0.6333999633789062,0.626202404499054
3,0.6458333134651184,0.7448472380638123,0.5574502348899841,0.6566666960716248,0.7398000359535217,0.5788121819496155
4,0.64083331823349,0.7486986517906189,0.5347422957420349,0.6433333158493042,0.7335555553436279,0.5360658764839172
5,0.6608333587646484,0.7617902755737305,0.5273165106773376,0.6200000047683716,0.7427999973297119,0.516541063785553
6,0.6416666507720947,0.7539694309234619,0.5210899710655212,0.6733333468437195,0.7420889139175415,0.5153082013130188
7,0.6883333325386047,0.7815666794776917,0.506838858127594,0.6166666746139526,0.7524443864822388,0.5052762627601624
8,0.6691666841506958,0.7730861306190491,0.5122269988059998,0.6433333158493042,0.7679111361503601,0.49614569544792175
9,0.6725000143051147,0.7746639251708984,0.5077555179595947,0.6766666769981384,0.7944444417953491,0.48010000586509705
10,0.6875,0.7957625389099121,0.48873865604400635,0.6600000262260437,0.7769333720207214,0.48556599020957947
11,0.6858333349227905,0.7968083620071411,0.4876720607280731,0.6733333468437195,0.7722889184951782,0.4828096032142639
12,0.721666693687439,0.8256624937057495,0.47217705845832825,0.6633333563804626,0.7927333116531372,0.4680452048778534
13,0.7049999833106995,0.8087722063064575,0.482700914144516,0.6800000071525574,0.7684445381164551,0.4951070547103882
14,0.7024999856948853,0.8076527714729309,0.48634403944015503,0.6633333563804626,0.7944665551185608,0.4769538938999176
15,0.6974999904632568,0.8047111630439758,0.4755195677280426,0.7133333086967468,0.8063555955886841,0.4529729187488556
16,0.7024999856948853,0.8185499310493469,0.4670456349849701,0.6833333373069763,0.8052444458007812,0.4563714563846588
17,0.6924999952316284,0.8126403093338013,0.4682086110115051,0.6600000262260437,0.7933778166770935,0.45349523425102234
18,0.7174999713897705,0.8266749978065491,0.45131316781044006,0.6666666865348816,0.8008667230606079,0.4511648416519165
19,0.7225000262260437,0.8338555097579956,0.4516078233718872,0.6899999976158142,0.804622232913971,0.4533582031726837
20,0.7116666436195374,0.825636088848114,0.45702117681503296,0.6800000071525574,0.812333345413208,0.46476200222969055
21,0.7225000262260437,0.8414250016212463,0.4420435130596161,0.6800000071525574,0.7891554832458496,0.4574580788612366
22,0.7133333086967468,0.8373472094535828,0.4414867162704468,0.6766666769981384,0.8061111569404602,0.4444723129272461
23,0.7316666841506958,0.8466777801513672,0.43209829926490784,0.6833333373069763,0.8037555813789368,0.44796106219291687
24,0.7258333563804626,0.8390486240386963,0.4395151138305664,0.6700000166893005,0.7967778444290161,0.4481208324432373
25,0.7333333492279053,0.8459402322769165,0.44082915782928467,0.653333306312561,0.7991110682487488,0.4568435251712799
26,0.7241666913032532,0.8510958552360535,0.4258086681365967,0.6566666960716248,0.8002889156341553,0.44884413480758667
27,0.7491666674613953,0.8629486560821533,0.4201596975326538,0.6433333158493042,0.7961778044700623,0.4557846486568451
28,0.746666669845581,0.8541597127914429,0.4247695803642273,0.6633333563804626,0.8013555407524109,0.4546010196208954
29,0.7458333373069763,0.8654194474220276,0.4108433425426483,0.6466666460037231,0.801622211933136,0.44981276988983154
