epoch,accuracy,auc,duration,loss,ram_usage,val_accuracy,val_auc,val_loss
0,0.5982824563980103,0.6497090458869934,19.749913215637207,0.7568798661231995,3607.34375,0.5442478060722351,0.5653144121170044,1.227811574935913
1,0.6288167834281921,0.7123783826828003,3.789949417114258,0.6009452939033508,3617.5546875,0.6194690465927124,0.7018169164657593,0.5953701734542847
2,0.614503800868988,0.7057408094406128,3.826409339904785,0.572978138923645,3617.5625,0.6238937973976135,0.6985276937484741,0.64472895860672
3,0.6545801758766174,0.7358108162879944,3.8619632720947266,0.544680118560791,3617.5625,0.6150442361831665,0.7080037593841553,0.555473268032074
4,0.6364504098892212,0.7227981090545654,4.018386125564575,0.5596435070037842,3627.6875,0.6238937973976135,0.7166575193405151,0.5528103113174438
5,0.6307252049446106,0.706671416759491,5.039414882659912,0.5460920333862305,3627.6875,0.6238937973976135,0.7186153531074524,0.544668436050415
6,0.6307252049446106,0.7287035584449768,3.9784460067749023,0.5367130041122437,3627.6875,0.6238937973976135,0.717166543006897,0.5453444123268127
7,0.6326335668563843,0.7312473654747009,4.13419771194458,0.5338034629821777,3627.6875,0.6283186078071594,0.7125851511955261,0.5341672897338867
8,0.635496199131012,0.7302440404891968,4.028713226318359,0.5302746891975403,3627.71484375,0.6238937973976135,0.7186153531074524,0.5424692034721375
9,0.6269084215164185,0.7366959452629089,4.016854524612427,0.5251101851463318,3627.71484375,0.6238937973976135,0.7174015045166016,0.5444431304931641
10,0.614503800868988,0.7150570154190063,4.0009825229644775,0.530215859413147,3627.71484375,0.6327433586120605,0.7224136590957642,0.5259577035903931
11,0.642175555229187,0.731445848941803,3.9396464824676514,0.5249398350715637,3627.72265625,0.6238937973976135,0.7172840237617493,0.542294442653656
12,0.6173664331436157,0.7048522233963013,3.8366591930389404,0.5487897992134094,3627.72265625,0.6238937973976135,0.7157960534095764,0.565437912940979
13,0.6221374273300171,0.7190650701522827,4.286314010620117,0.5296913385391235,3627.72265625,0.6238937973976135,0.7152869701385498,0.5404278039932251
14,0.6383587718009949,0.7348202466964722,3.9206507205963135,0.5241709351539612,3627.72265625,0.6283186078071594,0.7155611515045166,0.5374391078948975
15,0.6269084215164185,0.7247956991195679,3.784337043762207,0.5261363387107849,3627.72265625,0.6283186078071594,0.7143080830574036,0.5340111255645752
16,0.6288167834281921,0.7254476547241211,3.778806209564209,0.5143980979919434,3627.80078125,0.6150442361831665,0.7170099020004272,0.5327674150466919
17,0.6307252049446106,0.730488121509552,3.806710720062256,0.5158575773239136,3627.80078125,0.6238937973976135,0.7167750000953674,0.5320740342140198
18,0.6412213444709778,0.7338587641716003,3.7865705490112305,0.51360023021698,3627.80078125,0.6283186078071594,0.7094134092330933,0.5245797634124756
19,0.6335877776145935,0.7271047830581665,3.7731173038482666,0.516392707824707,3627.80078125,0.6194690465927124,0.7118802666664124,0.533665120601654
20,0.6259542107582092,0.7243824005126953,3.770773410797119,0.5138670206069946,3647.25390625,0.6150442361831665,0.716031014919281,0.5287596583366394
21,0.6316794157028198,0.737695574760437,3.8566479682922363,0.5115751624107361,3650.62890625,0.6238937973976135,0.7156002521514893,0.525481641292572
22,0.6288167834281921,0.7347601056098938,3.80969500541687,0.5125374794006348,3650.62890625,0.6238937973976135,0.7116062045097351,0.525823175907135
