epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5941666960716248,0.6776055693626404,0.6169371008872986,0.5199999809265137,0.6747555732727051,0.6418231129646301
1,0.6100000143051147,0.7088555693626404,0.5761157274246216,0.5133333206176758,0.7146000266075134,0.6348282694816589
2,0.6383333206176758,0.7214652895927429,0.5571057796478271,0.6766666769981384,0.7419777512550354,0.5908624529838562
3,0.6549999713897705,0.7477263808250427,0.5341218709945679,0.6366666555404663,0.7325111627578735,0.5397195219993591
4,0.6566666960716248,0.7415527701377869,0.5352724194526672,0.6333333253860474,0.7533555626869202,0.5078867077827454
5,0.6708333492279053,0.7823041081428528,0.5039289593696594,0.6566666960716248,0.7383111119270325,0.5118954181671143
6,0.6816666722297668,0.7728458046913147,0.5045068860054016,0.6266666650772095,0.7602888941764832,0.49653860926628113
7,0.675000011920929,0.7775347232818604,0.49658557772636414,0.5766666531562805,0.7239999771118164,0.4914502501487732
8,0.699999988079071,0.8165958523750305,0.47115421295166016,0.6033333539962769,0.740577757358551,0.5465203523635864
9,0.6933333277702332,0.7985500693321228,0.48175668716430664,0.6433333158493042,0.7766444087028503,0.47786998748779297
10,0.684166669845581,0.7997707724571228,0.479988694190979,0.6266666650772095,0.7711110711097717,0.4862837791442871
11,0.7016666531562805,0.8147861361503601,0.4659380614757538,0.6700000166893005,0.7836889028549194,0.46625906229019165
12,0.6800000071525574,0.8004889488220215,0.4704813063144684,0.6666666865348816,0.7809778451919556,0.47365647554397583
13,0.7408333420753479,0.8413458466529846,0.4497019946575165,0.6566666960716248,0.7828667163848877,0.48487845063209534
14,0.7250000238418579,0.8391652703285217,0.4522286355495453,0.6366666555404663,0.7782666087150574,0.4793843626976013
15,0.7283333539962769,0.8459694385528564,0.4383258521556854,0.6299999952316284,0.7757111191749573,0.48116806149482727
16,0.7383333444595337,0.8550805449485779,0.4293711483478546,0.6299999952316284,0.778999924659729,0.5038308501243591
17,0.7383333444595337,0.8525944948196411,0.42864248156547546,0.6266666650772095,0.775422215461731,0.5162842869758606
18,0.7549999952316284,0.8649791479110718,0.4161728620529175,0.6066666841506958,0.770799994468689,0.5167810320854187
19,0.7649999856948853,0.8751583695411682,0.4083009958267212,0.5933333039283752,0.7661110758781433,0.5317865014076233
20,0.778333306312561,0.8808764219284058,0.4008823037147522,0.5833333134651184,0.7651112079620361,0.5587868690490723
21,0.7674999833106995,0.8799264430999756,0.3983649015426636,0.596666693687439,0.7653111219406128,0.5328269600868225
22,0.762499988079071,0.8789944052696228,0.39768844842910767,0.5899999737739563,0.7655777335166931,0.546896755695343
23,0.7708333134651184,0.883741557598114,0.3926541209220886,0.5933333039283752,0.7632222175598145,0.5573517084121704
24,0.7699999809265137,0.8921597003936768,0.3842323422431946,0.5933333039283752,0.7650889754295349,0.5582529306411743
25,0.7816666960716248,0.8909263610839844,0.38462284207344055,0.5933333039283752,0.7643777132034302,0.5565657615661621
26,0.7875000238418579,0.8950319290161133,0.3825344443321228,0.6000000238418579,0.7674667239189148,0.562569260597229
27,0.7883333563804626,0.8933611512184143,0.3823555111885071,0.596666693687439,0.7646888494491577,0.5657401084899902
28,0.7858333587646484,0.8931041955947876,0.3840906620025635,0.596666693687439,0.7634667158126831,0.5695850849151611
29,0.7900000214576721,0.8974875211715698,0.3794327676296234,0.596666693687439,0.7653111815452576,0.5730904340744019
