Metric,Mean,Std,Num_Runs
Val_Acc,0.63893,0.007279964896130247,10
Val_AUC,0.7331,0.00985832981121378,10
Precision,0.62857,0.04509087244418517,10
Recall,0.7186,0.12782297654699382,10
F1,0.66091,0.04313187658539538,10
Total_Time(s),205.575,6.964486500972074,10
Max_RAM(MB),3004.4970000000003,338.37430156066324,10

