Metric,Mean,Std,Num_Runs
Val_Acc,0.5396,0.012129211754181636,10
Val_AUC,0.5557000000000001,0.004181971890016579,10
Precision,0.54288,0.015226205480464713,10
Recall,0.51679,0.08857859598495939,10
F1,0.5252800000000001,0.04575472774600578,10
Total_Time(s),271.823,9.152917021365369,10
Max_RAM(MB),3349.9850000000006,438.6393353757605,10
