Timestamp,CoverFile,SecretFile,Status,Time(s),MSE,PSNR,SNR,Rate(kBps),CPU(%),RAM(MB),Info
10:35:23,6_data_TEST_DR5_FHES0_SI1739.WAV.wav,2011_004989.jpg,Success,1.3164,0.000000,80.78,44.57,4.9976,2.60,53.38,Rnd_Adaptive_Content
10:35:25,6_data_TEST_DR4_MTEB0_SX143.WAV.wav,2010_004140.jpg,Success,1.3154,0.000000,87.79,46.19,2.7288,3.90,53.51,Rnd_Adaptive_Content
10:35:26,6_data_TEST_DR2_MMDM2_SI2082.WAV.wav,2010_002723.jpg,Success,1.6301,0.000000,80.95,41.38,4.6782,1.90,53.54,Rnd_Adaptive_Content
10:35:28,6_data_TEST_DR4_MBNS0_SI1850.WAV.wav,2011_001124.jpg,Success,1.3809,0.000000,81.08,42.95,4.6736,4.80,52.70,Rnd_Adaptive_Content
10:35:29,6_data_TEST_DR3_MBWM0_SX224.WAV.wav,2008_003496.jpg,Success,1.4527,0.000000,75.25,32.68,5.6395,4.00,53.25,Rnd_Adaptive_Content
10:35:31,6_data_TEST_DR3_FPKT0_SX368.WAV.wav,2008_002425.png,Success,1.3759,0.000000,95.81,62.83,1.1028,2.40,53.19,Rnd_Adaptive_Content
10:35:32,6_data_TEST_DR4_FLKD0_SA1.WAV.wav,2009_004686.jpg,Success,1.1824,0.000000,88.57,51.86,2.3513,4.90,53.66,Rnd_Adaptive_Content
10:35:33,6_data_TEST_DR3_MMDH0_SX396.WAV.wav,2012_002150.jpg,Success,1.3256,0.000000,93.46,53.18,1.8854,3.90,53.24,Rnd_Adaptive_Content
10:35:34,6_data_TEST_DR4_FCRH0_SX278.WAV.wav,2012_003581.jpg,Success,1.2313,0.000000,88.31,53.40,2.4970,4.40,52.51,Rnd_Adaptive_Content
10:36:10,6_data_TEST_DR2_MWEW0_SX281.WAV.wav,2011_000162.jpg,Success,35.1828,0.000000,88.39,58.43,2.3712,1.00,53.96,Rnd_Adaptive_Content
10:36:11,6_data_TEST_DR3_MMAB0_SX102.WAV.wav,2008_003812.jpg,Success,1.4908,0.000000,88.38,53.74,2.3928,5.60,53.66,Rnd_Adaptive_Content
10:36:13,6_data_TEST_DR2_MPGL0_SA2.WAV.wav,2011_006489.jpg,Success,1.2539,0.000000,88.11,52.98,2.4994,5.60,53.34,Rnd_Adaptive_Content
10:36:14,6_data_TEST_DR1_FDAC1_SA1.WAV.wav,2010_003547.png,Success,0.9579,0.000000,95.25,59.36,1.2545,6.60,53.30,Rnd_Adaptive_Content
10:36:15,6_data_TEST_DR5_FHES0_SX299.WAV.wav,2011_003491.jpg,Success,1.0477,0.000000,87.18,47.78,3.1882,7.60,53.93,Rnd_Adaptive_Content
10:36:16,6_data_TEST_DR4_FADG0_SA1.WAV.wav,2011_000843.png,Success,0.8512,0.000000,88.13,52.13,2.5148,7.30,52.57,Rnd_Adaptive_Content
