File,k,Ratio,Audio MSE,Audio PSNR,Audio SNR,Rate(kBps),Image Size,Status
mbwp0_si1531.wav,8,4:2:0,9372.46432,50.59,7.88,9.93,256x256 (4:2:0),Success
mtdb0_sx141.wav,8,4:2:0,6983.56042,51.87,14.49,7.42,256x256 (4:2:0),Success
mdwm0_si2176.wav,8,4:2:0,3798.47809,54.51,23.59,4.45,256x256 (4:2:0),Success
mtwh0_sx200.wav,8,4:2:0,5476.61328,52.92,14.47,5.69,256x256 (4:2:0),Success
fjrb0_si1932.wav,8,4:2:0,4085.27492,54.2,19.97,4.78,256x256 (4:2:0),Success
fjdm2_sx52.wav,8,4:2:0,4234.50902,54.04,19.23,4.73,256x256 (4:2:0),Success
mwac0_sa1.wav,8,4:2:0,2837.67302,55.78,27.33,3.58,256x256 (4:2:0),Success
mchl0_si1404.wav,8,4:2:0,3781.9752,54.53,18.63,4.49,256x256 (4:2:0),Success
mahh0_sx214.wav,8,4:2:0,1908.52355,57.5,13.09,2.06,256x256 (4:2:0),Success
flkd0_sx109.wav,8,4:2:0,4328.32763,53.95,17.12,5.22,256x256 (4:2:0),Success
ftlg0_sa1.wav,8,4:2:0,2441.06919,56.43,19.39,3.03,256x256 (4:2:0),Success
mvrw0_si2115.wav,8,4:2:0,4085.37834,54.2,21.14,4.63,128x128 (4:2:0),Success
mjac0_sx71.wav,8,4:2:0,5627.49056,52.81,10.52,6.08,256x256 (4:2:0),Success
mrtj0_si2032.wav,8,4:2:0,6844.54689,51.96,11.34,7.02,256x256 (4:2:0),Success
mdlr0_sx333.wav,8,4:2:0,3188.62084,55.27,20.99,3.83,256x256 (4:2:0),Success
fnlp0_si1308.wav,8,4:2:0,2451.71627,56.41,19.17,2.67,256x256 (4:2:0),Success
mjac0_si2148.wav,8,4:2:0,9970.00566,50.32,11.54,10.57,256x256 (4:2:0),Success
mplb0_sa2.wav,8,4:2:0,2900.9478,55.68,18.7,3.3,256x256 (4:2:0),Success
mpgl0_sx109.wav,8,4:2:0,7327.5704,51.66,15.18,8.44,256x256 (4:2:0),Success
mpam1_si1029.wav,8,4:2:0,6403.05709,52.25,21.18,7.33,256x256 (4:2:0),Success
fmcm0_sx190.wav,8,4:2:0,5347.30991,53.03,13.97,6.33,256x256 (4:2:0),Success
fetb0_sx428.wav,8,4:2:0,4474.81526,53.8,12.19,4.91,256x256 (4:2:0),Success
mjws0_sx63.wav,8,4:2:0,5601.64383,52.83,13.49,6.26,256x256 (4:2:0),Success
mdss0_si621.wav,8,4:2:0,6771.28621,52.0,14.5,8.18,256x256 (4:2:0),Success
fpac0_sx31.wav,8,4:2:0,5146.64729,53.19,16.92,5.62,256x256 (4:2:0),Success
msah1_si1049.wav,8,4:2:0,2683.17806,56.02,9.74,2.83,256x256 (4:2:0),Success
mcal0_si1768.wav,8,4:2:0,9024.60875,50.75,6.84,9.39,256x256 (4:2:0),Success
fpmy0_si1783.wav,8,4:2:0,5754.24558,52.71,14.82,5.76,256x256 (4:2:0),Success
mlsh0_sa1.wav,8,4:2:0,4594.41417,53.69,17.48,5.64,256x256 (4:2:0),Success
mkaj0_sx154.wav,8,4:2:0,5769.04997,52.7,11.09,6.64,256x256 (4:2:0),Success
flmc0_sx112.wav,8,4:2:0,3252.12732,55.19,17.52,3.78,256x256 (4:2:0),Success
fpaf0_sa1.wav,8,4:2:0,3296.82789,55.13,11.81,3.75,256x256 (4:2:0),Success
fjlr0_sx61.wav,8,4:2:0,1734.44155,57.92,14.4,1.92,256x256 (4:2:0),Success
fsag0_sa1.wav,8,4:2:0,4464.15334,53.81,16.97,5.26,256x256 (4:2:0),Success
mgaw0_sx175.wav,8,4:2:0,4328.10006,53.95,14.89,5.2,256x256 (4:2:0),Success
fjen0_sx327.wav,8,4:2:0,1995.54624,57.31,19.59,2.29,256x256 (4:2:0),Success
mclm0_sx106.wav,8,4:2:0,6454.48472,52.21,9.0,7.34,256x256 (4:2:0),Success
mprk0_sa2.wav,8,4:2:0,1652.65479,58.13,24.54,1.82,256x256 (4:2:0),Success
mjra0_si1236.wav,8,4:2:0,5507.62641,52.9,22.09,6.47,256x256 (4:2:0),Success
fgwr0_sa2.wav,8,4:2:0,5707.77949,52.74,11.81,6.53,256x256 (4:2:0),Success
fdhc0_sx299.wav,8,4:2:0,4892.3439,53.41,18.13,5.63,256x256 (4:2:0),Success
