Timestamp,CoverFile,SecretFile,Status,Time(s),MSE,PSNR,SNR,Rate(kBps),CPU(%),RAM(MB),Info
13:28:41,6_data_TEST_DR4_FLBW0_SX409.WAV.wav,2011_005568.jpg,Success,0.6315,0.000000,81.23,37.91,4.3244,72.70,52.68,Rnd_Adaptive_Content
13:28:41,6_data_TEST_DR2_MABW0_SX404.WAV.wav,2009_003089.jpg,Success,0.6160,0.000000,80.43,45.93,5.3663,65.80,54.61,Rnd_Adaptive_Content
13:28:42,6_data_TEST_DR1_FELC0_SX216.WAV.wav,2009_000930.jpg,Success,0.9530,0.000000,81.40,38.20,4.3395,12.80,53.34,Rnd_Adaptive_Content
13:28:43,6_data_TEST_DR4_FJMG0_SA1.WAV.wav,2008_004663.jpg,Success,0.6503,0.000000,86.77,48.47,3.4008,47.80,54.17,Rnd_Adaptive_Content
13:28:44,6_data_TEST_DR2_FJWB0_SX5.WAV.wav,2010_000645.jpg,Success,0.6335,0.000000,68.76,27.89,7.5736,52.10,53.95,Rnd_Adaptive_Content
13:28:44,6_data_TEST_DR4_FJLM0_SI1043.WAV.wav,2008_002751.jpg,Success,0.6937,0.000000,87.77,41.84,2.9077,52.00,53.71,Rnd_Adaptive_Content
13:28:45,6_data_TEST_DR3_MKCH0_SI1425.WAV.wav,2008_001601.png,Success,0.6123,0.000000,80.56,40.82,5.1616,38.00,53.22,Rnd_Adaptive_Content
13:28:46,6_data_TEST_DR4_MROA0_SX317.WAV.wav,2011_005058.jpg,Success,0.6235,0.000000,86.51,44.29,3.6977,69.40,53.49,Rnd_Adaptive_Content
13:28:46,6_data_TEST_DR3_MMWH0_SI459.WAV.wav,2008_001761.png,Success,0.6030,0.000000,93.37,56.99,1.9232,57.00,52.41,Rnd_Adaptive_Content
13:28:47,6_data_TEST_DR2_MMDM2_SX282.WAV.wav,2010_000927.jpg,Success,0.7649,0.000000,80.46,40.11,5.3086,56.00,53.77,Rnd_Adaptive_Content
13:28:48,6_data_TEST_DR4_FMCM0_SA1.WAV.wav,2010_001120.jpg,Success,0.8593,0.000000,86.40,46.36,3.8138,52.80,54.32,Rnd_Adaptive_Content
13:28:49,6_data_TEST_DR4_FCFT0_SA2.WAV.wav,2007_000123.png,Success,0.7495,0.000000,81.74,39.02,3.9210,53.30,53.83,Rnd_Adaptive_Content
13:28:50,6_data_TEST_DR2_FDRD1_SI1566.WAV.wav,2009_000691.jpg,Success,0.7866,0.000000,88.97,52.14,2.1162,57.50,54.43,Rnd_Adaptive_Content
13:28:51,6_data_TEST_DR3_FCMH0_SI1454.WAV.wav,2009_003269.png,Success,1.1380,0.000000,93.83,57.84,1.7295,11.40,52.56,Rnd_Adaptive_Content
13:28:53,6_data_TEST_DR3_MMAB0_SI1992.WAV.wav,2012_003178.jpg,Success,0.9856,0.000000,86.72,53.34,3.4633,12.00,54.45,Rnd_Adaptive_Content
13:28:53,6_data_TEST_DR4_MKCL0_SX101.WAV.wav,2008_005713.png,Success,0.6395,0.000000,88.27,54.72,2.4527,52.50,53.81,Rnd_Adaptive_Content
13:28:54,6_data_TEST_DR5_FCAL1_SI1403.WAV.wav,2008_001118.png,Success,0.6613,0.000000,88.98,56.33,2.0307,50.70,54.29,Rnd_Adaptive_Content
13:28:55,6_data_TEST_DR2_MPGL0_SI1729.WAV.wav,2007_006483.png,Success,0.6926,0.000000,87.85,56.30,2.7087,50.50,53.96,Rnd_Adaptive_Content
13:28:56,6_data_TEST_DR4_FEDW0_SX4.WAV.wav,2008_007465.jpg,Success,0.6362,0.000000,87.08,50.23,3.2591,69.90,53.89,Rnd_Adaptive_Content
13:28:56,6_data_TEST_DR3_FPKT0_SX278.WAV.wav,2011_005100.jpg,Success,0.6482,0.000000,88.16,53.81,2.5694,67.80,53.59,Rnd_Adaptive_Content
13:28:57,6_data_TEST_DR3_MTDT0_SX94.WAV.wav,2012_003491.jpg,Success,0.6274,0.000000,86.80,49.43,3.5213,47.00,53.74,Rnd_Adaptive_Content
13:28:58,6_data_TEST_DR2_MTAS1_SX28.WAV.wav,2011_003475.jpg,Success,0.6713,0.000000,87.40,49.22,3.0431,34.30,53.20,Rnd_Adaptive_Content
13:28:58,6_data_TEST_DR4_MLLL0_SI1363.WAV.wav,2008_006325.jpg,Success,0.6224,0.000000,93.57,63.73,1.8401,65.00,52.63,Rnd_Adaptive_Content
13:28:59,6_data_TEST_DR2_FRAM1_SX280.WAV.wav,2011_000253.jpg,Success,0.8960,0.000000,81.28,50.32,4.3365,9.40,53.43,Rnd_Adaptive_Content
13:29:00,6_data_TEST_DR1_FJEM0_SI1894.WAV.wav,2011_006475.jpg,Success,0.6117,0.000000,81.48,49.05,4.0787,51.20,53.65,Rnd_Adaptive_Content
13:29:01,6_data_TEST_DR3_MGLB0_SX274.WAV.wav,2008_006403.jpg,Success,0.9427,0.000000,87.63,48.27,2.8937,14.00,53.35,Rnd_Adaptive_Content
13:29:02,6_data_TEST_DR2_FRAM1_SA2.WAV.wav,2011_002690.jpg,Success,0.8199,0.000000,87.42,56.32,2.9718,68.70,53.84,Rnd_Adaptive_Content
13:29:03,6_data_TEST_DR2_MWEW0_SI1361.WAV.wav,2009_000744.png,Success,0.8335,0.000000,86.53,54.82,3.6816,66.80,53.46,Rnd_Adaptive_Content
13:29:04,6_data_TEST_DR2_FCMR0_SX25.WAV.wav,2009_002058.jpg,Success,0.7977,0.000000,74.99,34.38,5.8727,44.20,53.74,Rnd_Adaptive_Content
13:29:05,6_data_TEST_DR1_FDAC1_SX304.WAV.wav,2009_004748.png,Success,1.0654,0.000000,88.78,51.68,2.1705,10.40,54.39,Rnd_Adaptive_Content
13:29:06,6_data_TEST_DR4_MRKO0_SX227.WAV.wav,2012_000941.jpg,Success,0.6943,0.000000,74.37,39.91,6.5862,66.00,53.71,Rnd_Adaptive_Content
13:29:06,6_data_TEST_DR3_MMWH0_SA1.WAV.wav,2011_003631.jpg,Success,0.6673,0.000000,86.52,48.98,3.6481,60.70,54.15,Rnd_Adaptive_Content
13:29:07,6_data_TEST_DR3_MGLB0_SI1534.WAV.wav,2012_001724.jpg,Success,0.6671,0.000000,87.73,47.84,2.8437,65.00,53.82,Rnd_Adaptive_Content
13:29:08,6_data_TEST_DR2_FPAS0_SI944.WAV.wav,2008_003905.jpg,Success,0.6250,0.000000,81.08,40.09,4.4718,34.80,54.07,Rnd_Adaptive_Content
13:29:08,6_data_TEST_DR1_MRJO0_SX374.WAV.wav,2010_002899.jpg,Success,0.6523,0.000000,74.19,33.76,7.1356,67.90,53.76,Rnd_Adaptive_Content
13:29:09,6_data_TEST_DR3_MHPG0_SX100.WAV.wav,2009_002235.jpg,Success,0.6663,0.000000,80.63,44.47,4.9685,74.20,54.11,Rnd_Adaptive_Content
13:29:10,6_data_TEST_DR3_MCSH0_SX379.WAV.wav,2011_004013.jpg,Success,1.2542,0.000000,86.86,57.33,3.4656,4.60,53.49,Rnd_Adaptive_Content
13:29:11,6_data_TEST_DR2_FJAS0_SA2.WAV.wav,2010_003629.jpg,Success,0.6771,0.000000,80.40,37.10,5.2766,65.20,54.19,Rnd_Adaptive_Content
13:29:12,6_data_TEST_DR3_MMJR0_SX388.WAV.wav,2008_001169.jpg,Success,0.6157,0.000000,87.99,46.87,2.6431,48.50,54.00,Rnd_Adaptive_Content
13:29:13,6_data_TEST_DR4_FJMG0_SX281.WAV.wav,2007_001185.png,Success,0.6237,0.000000,89.41,51.40,1.9283,73.40,54.16,Rnd_Adaptive_Content
13:29:13,6_data_TEST_DR1_FAKS0_SI1573.WAV.wav,2010_003206.jpg,Success,0.6406,0.000000,88.99,55.34,2.1229,56.00,54.37,Rnd_Adaptive_Content
13:29:14,6_data_TEST_DR3_FKMS0_SA2.WAV.wav,2010_000907.png,Success,0.6596,0.000000,81.66,45.85,3.9810,67.50,53.68,Rnd_Adaptive_Content
13:29:15,6_data_TEST_DR2_FPAS0_SX404.WAV.wav,2011_002725.jpg,Success,0.7176,0.000000,81.18,43.48,4.4268,66.70,54.27,Rnd_Adaptive_Content
13:29:16,6_data_TEST_DR4_MTLS0_SI740.WAV.wav,2012_003212.jpg,Success,0.8300,0.000000,74.12,32.69,7.0945,72.30,54.11,Rnd_Adaptive_Content
13:29:17,6_data_TEST_DR1_MREB0_SI745.WAV.wav,2011_001870.jpg,Success,0.9307,0.000000,68.24,30.45,8.4752,43.60,54.21,Rnd_Adaptive_Content
13:29:17,6_data_TEST_DR2_MABW0_SA1.WAV.wav,2010_003168.png,Success,0.7893,0.000000,87.11,52.70,3.2457,50.20,53.74,Rnd_Adaptive_Content
13:29:18,6_data_TEST_DR2_MDBB0_SX385.WAV.wav,2012_004125.jpg,Success,0.8574,0.000000,75.12,44.60,5.8129,87.10,53.87,Rnd_Adaptive_Content
13:29:19,6_data_TEST_DR4_MGMM0_SA2.WAV.wav,2011_001870.jpg,Success,0.6737,0.000000,80.37,36.82,5.3810,44.50,52.71,Rnd_Adaptive_Content
13:29:20,6_data_TEST_DR2_MPGL0_SI469.WAV.wav,2012_000695.jpg,Success,0.6055,0.000000,86.44,54.93,3.7191,46.00,53.96,Rnd_Adaptive_Content
13:29:20,6_data_TEST_DR5_FASW0_SA1.WAV.wav,2011_006475.jpg,Success,0.6160,0.000000,87.74,51.79,2.7878,65.70,54.03,Rnd_Adaptive_Content
13:29:21,6_data_TEST_DR4_FLBW0_SX319.WAV.wav,2010_002729.jpg,Success,0.6513,0.000000,87.46,45.79,2.9560,66.60,53.42,Rnd_Adaptive_Content
13:29:22,6_data_TEST_DR3_MJMP0_SI905.WAV.wav,2009_001767.jpg,Success,0.6310,0.000000,80.53,40.75,5.0888,50.50,52.33,Rnd_Adaptive_Content
13:29:22,6_data_TEST_DR4_MDLS0_SI2258.WAV.wav,2007_007003.jpg,Success,0.6125,0.000000,74.91,43.70,6.2418,54.50,53.24,Rnd_Adaptive_Content
13:29:23,6_data_TEST_DR2_MCEM0_SX48.WAV.wav,2008_004464.jpg,Success,0.6445,0.000000,86.60,50.05,3.5882,50.00,53.93,Rnd_Adaptive_Content
