epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6175000071525574,0.6706819534301758,0.8482446074485779,0.6033333539962769,0.5331777930259705,1.5411105155944824
1,0.6299999952316284,0.7107374668121338,0.6385812163352966,0.5,0.6668667197227478,0.7295377850532532
2,0.6308333277702332,0.7338194251060486,0.5703591704368591,0.5099999904632568,0.666866660118103,0.6509227156639099
3,0.6616666913032532,0.7553610801696777,0.5328448414802551,0.6600000262260437,0.7351111173629761,0.5558897852897644
4,0.6700000166893005,0.7574819922447205,0.5355915427207947,0.653333306312561,0.7253111004829407,0.5396710634231567
5,0.6541666388511658,0.76137775182724,0.5270648002624512,0.6566666960716248,0.7445333003997803,0.5088354349136353
6,0.690833330154419,0.7911555767059326,0.5044151544570923,0.6233333349227905,0.7557333707809448,0.5091609954833984
7,0.6800000071525574,0.773638904094696,0.5140432715415955,0.6366666555404663,0.7689999938011169,0.5165897011756897
8,0.6899999976158142,0.7932652235031128,0.49573472142219543,0.6233333349227905,0.7553555965423584,0.5001291632652283
9,0.6758333444595337,0.785633385181427,0.49683961272239685,0.6399999856948853,0.7674444913864136,0.4862467348575592
10,0.7149999737739563,0.8173125386238098,0.47538554668426514,0.6033333539962769,0.7246666550636292,0.5170376300811768
11,0.7166666388511658,0.80893474817276,0.4841287136077881,0.6600000262260437,0.7806444764137268,0.4947589635848999
12,0.7166666388511658,0.817863941192627,0.47302520275115967,0.6766666769981384,0.7734444737434387,0.4889523386955261
13,0.7250000238418579,0.8329777717590332,0.4612465798854828,0.6366666555404663,0.7638444900512695,0.49001801013946533
14,0.721666693687439,0.8261416554450989,0.46641144156455994,0.6233333349227905,0.7582443952560425,0.48232102394104004
15,0.7283333539962769,0.8390403389930725,0.451755166053772,0.6266666650772095,0.7680444717407227,0.48727771639823914
16,0.73416668176651,0.8349055647850037,0.45836395025253296,0.6399999856948853,0.7598889470100403,0.5025615692138672
17,0.721666693687439,0.8325138688087463,0.4482189416885376,0.6100000143051147,0.7554444074630737,0.4998370409011841
18,0.7400000095367432,0.8588249683380127,0.43479934334754944,0.6033333539962769,0.7634667158126831,0.4977755844593048
19,0.7433333396911621,0.8543347716331482,0.43528416752815247,0.6133333444595337,0.7678667306900024,0.5023138523101807
20,0.7483333349227905,0.8578652739524841,0.4329333007335663,0.6133333444595337,0.7543333768844604,0.488252729177475
21,0.7508333325386047,0.8610790967941284,0.42142054438591003,0.6133333444595337,0.7627333402633667,0.49158743023872375
22,0.7491666674613953,0.8677681088447571,0.4189051687717438,0.6200000047683716,0.7627999782562256,0.5002211332321167
23,0.7558333277702332,0.861359715461731,0.42976465821266174,0.596666693687439,0.7606443762779236,0.5022964477539062
24,0.7666666507720947,0.8746222257614136,0.41621097922325134,0.596666693687439,0.7598665952682495,0.5027250647544861
25,0.7666666507720947,0.8751125335693359,0.41132086515426636,0.5899999737739563,0.759088933467865,0.5056294798851013
26,0.7749999761581421,0.8744027614593506,0.4123089909553528,0.6000000238418579,0.757599949836731,0.5051584243774414
27,0.7749999761581421,0.879490315914154,0.41024354100227356,0.596666693687439,0.7582444548606873,0.5070306658744812
28,0.753333330154419,0.8728764057159424,0.4134191572666168,0.6000000238418579,0.7580666542053223,0.5093204379081726
29,0.7524999976158142,0.8785791397094727,0.4074127674102783,0.596666693687439,0.7590888738632202,0.5092825889587402
