epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6066666841506958,0.6623791456222534,0.8114101886749268,0.5,0.5453333258628845,1.6265027523040771
1,0.6391666531562805,0.7178652882575989,0.6051344275474548,0.6233333349227905,0.5839333534240723,0.6496497988700867
2,0.6274999976158142,0.7197458744049072,0.572117030620575,0.503333330154419,0.612666666507721,0.6346253752708435
3,0.6299999952316284,0.7127583622932434,0.5729261040687561,0.46000000834465027,0.6218444108963013,0.6368409991264343
4,0.6308333277702332,0.7223514318466187,0.5620586276054382,0.6366666555404663,0.7292444705963135,0.568938672542572
5,0.6508333086967468,0.7398902773857117,0.5391836166381836,0.6066666841506958,0.7464222311973572,0.5377524495124817
6,0.6566666960716248,0.7591097354888916,0.5211172699928284,0.70333331823349,0.7699333429336548,0.5059394240379333
7,0.6416666507720947,0.7435416579246521,0.5232358574867249,0.6299999952316284,0.7339555621147156,0.5175298452377319
8,0.6741666793823242,0.764461100101471,0.5107067823410034,0.6333333253860474,0.733666718006134,0.5163800716400146
9,0.6608333587646484,0.7659527659416199,0.5137509107589722,0.6566666960716248,0.7760000228881836,0.48812270164489746
10,0.67166668176651,0.7799930572509766,0.49387800693511963,0.6433333158493042,0.762688934803009,0.5025944709777832
11,0.6583333611488342,0.7711333632469177,0.5102605223655701,0.6733333468437195,0.7733777165412903,0.47608038783073425
12,0.6783333420753479,0.7766290903091431,0.5022136569023132,0.6766666769981384,0.7876444458961487,0.4801029860973358
13,0.6791666746139526,0.7795694470405579,0.48814982175827026,0.6633333563804626,0.7940666675567627,0.4571320116519928
14,0.6683333516120911,0.7705791592597961,0.48835545778274536,0.6733333468437195,0.7883332967758179,0.4677065908908844
15,0.6658333539962769,0.7764083743095398,0.4815903604030609,0.6566666960716248,0.7878222465515137,0.4682489037513733
16,0.6783333420753479,0.7867680191993713,0.484409898519516,0.6600000262260437,0.8011999726295471,0.4516705274581909
17,0.6683333516120911,0.7772931456565857,0.4877324402332306,0.6666666865348816,0.7931333184242249,0.4592020809650421
18,0.690833330154419,0.8001596331596375,0.47701379656791687,0.699999988079071,0.815822184085846,0.44297876954078674
19,0.6916666626930237,0.7982458472251892,0.4780718982219696,0.6899999976158142,0.7917778491973877,0.46097391843795776
20,0.7108333110809326,0.8115944862365723,0.46922415494918823,0.6666666865348816,0.783644437789917,0.4624258279800415
21,0.6991666555404663,0.8082417249679565,0.46734756231307983,0.6866666674613953,0.7951111197471619,0.449530690908432
22,0.7083333134651184,0.8241986036300659,0.44855859875679016,0.6833333373069763,0.800155520439148,0.4524509310722351
23,0.7124999761581421,0.8234375715255737,0.44733160734176636,0.6600000262260437,0.796333372592926,0.44156667590141296
24,0.7074999809265137,0.8362597227096558,0.4406619369983673,0.699999988079071,0.8060221672058105,0.4388545751571655
25,0.7225000262260437,0.8456429839134216,0.4331042468547821,0.6766666769981384,0.8027777671813965,0.46401724219322205
26,0.7225000262260437,0.8401138186454773,0.4369986951351166,0.6899999976158142,0.8091555237770081,0.4368579685688019
27,0.70333331823349,0.8314264416694641,0.4342478811740875,0.6933333277702332,0.8100000023841858,0.44792255759239197
28,0.7108333110809326,0.8204569220542908,0.453532874584198,0.6866666674613953,0.8044000267982483,0.43688085675239563
29,0.7333333492279053,0.8474902510643005,0.43213438987731934,0.699999988079071,0.8125554919242859,0.4455694556236267
