epoch,accuracy,auc,duration,loss,ram_usage,val_accuracy,val_auc,val_loss
0,0.6216495037078857,0.6584908366203308,21.501893758773804,0.8734479546546936,3514.08203125,0.49047619104385376,0.49160996079444885,22.940582275390625
1,0.7278350591659546,0.822914183139801,3.4582247734069824,0.4993512034416199,3583.88671875,0.5047619342803955,0.5047618746757507,50.96998977661133
2,0.7608247399330139,0.8749898672103882,3.514604330062866,0.40987223386764526,3624.41015625,0.5571428537368774,0.57215416431427,21.086118698120117
3,0.8010309338569641,0.9207481741905212,3.5812268257141113,0.32319238781929016,3631.17578125,0.5857142806053162,0.5908390283584595,14.467069625854492
4,0.7907216548919678,0.9080667495727539,3.664991617202759,0.3516997992992401,3644.67578125,0.7047619223594666,0.8670747876167297,0.7678910493850708
5,0.8103092908859253,0.9263896346092224,3.7338082790374756,0.30164965987205505,3644.67578125,0.699999988079071,0.7215873003005981,3.1175601482391357
6,0.7845360636711121,0.8997215628623962,3.7153420448303223,0.3546873927116394,3617.671875,0.7190476059913635,0.779138445854187,2.357581377029419
7,0.8164948225021362,0.9332937002182007,3.788707733154297,0.29055655002593994,3622.8984375,0.723809540271759,0.7697052359580994,2.119845151901245
8,0.8319587707519531,0.9390051960945129,3.6634299755096436,0.2673010528087616,3622.8984375,0.7476190328598022,0.8136961460113525,2.065781831741333
9,0.8103092908859253,0.9246593713760376,3.4938693046569824,0.3115709125995636,3636.3984375,0.738095223903656,0.8710204362869263,0.9637391567230225
10,0.8051546216011047,0.9288914799690247,3.552938938140869,0.28258877992630005,3636.3984375,0.723809540271759,0.8319728970527649,1.4779177904129028
11,0.8247422575950623,0.9383059144020081,3.4313299655914307,0.2646367847919464,3636.3984375,0.7523809671401978,0.8398639559745789,1.5677446126937866
12,0.8340206146240234,0.9408735632896423,3.416102409362793,0.26156097650527954,3656.65234375,0.8142856955528259,0.922086238861084,0.6815267205238342
13,0.8443298935890198,0.9457284808158875,3.3766541481018066,0.24996662139892578,3636.3984375,0.8238095045089722,0.9395464658737183,0.27419111132621765
14,0.8381443023681641,0.9446062445640564,3.4722938537597656,0.24730810523033142,3656.6484375,0.8190476298332214,0.9459864497184753,0.28648364543914795
15,0.8216494917869568,0.9415007829666138,3.397073745727539,0.2514030635356903,3643.1484375,0.8476190567016602,0.957414984703064,0.23992419242858887
16,0.8340206146240234,0.9448527693748474,3.402984857559204,0.25072935223579407,3643.1484375,0.8285714387893677,0.9466666579246521,0.23729796707630157
17,0.8268041014671326,0.9425782561302185,3.3523519039154053,0.24788105487823486,3643.1484375,0.8428571224212646,0.958775520324707,0.2262302041053772
18,0.839175283908844,0.9439600706100464,3.4272494316101074,0.23922570049762726,3683.46484375,0.8428571224212646,0.9560998678207397,0.2255587875843048
19,0.8484535813331604,0.9464554786682129,5.056898832321167,0.23775434494018555,3684.51953125,0.8476190567016602,0.9561450481414795,0.22179099917411804
20,0.8463917374610901,0.9489128589630127,3.382448673248291,0.2358933389186859,3684.51953125,0.8523809313774109,0.9584126472473145,0.22173431515693665
21,0.8484535813331604,0.949945867061615,3.475531578063965,0.23574760556221008,3684.51953125,0.8571428656578064,0.961043119430542,0.2167084962129593
22,0.8329896926879883,0.9398108124732971,3.434645414352417,0.2756970524787903,3690.21484375,0.8333333134651184,0.9514738917350769,0.23121914267539978
23,0.8402062058448792,0.9502836465835571,3.443709135055542,0.24545413255691528,3690.21484375,0.8380952477455139,0.9527437090873718,0.22910919785499573
24,0.8371133804321289,0.9457136392593384,3.4952147006988525,0.2558176815509796,3690.21484375,0.8428571224212646,0.952517032623291,0.24190200865268707
25,0.8360824584960938,0.9462451934814453,3.5381481647491455,0.252240926027298,3690.21484375,0.8380952477455139,0.9514738917350769,0.2458932250738144
26,0.8360824584960938,0.9469104409217834,5.118837118148804,0.24959929287433624,3690.21484375,0.8190476298332214,0.9370521903038025,0.2889947295188904
27,0.8319587707519531,0.9416409134864807,3.581758499145508,0.2484281063079834,3696.96484375,0.8380952477455139,0.9522902369499207,0.2350689321756363
28,0.8371133804321289,0.941460371017456,5.0520851612091064,0.24214646220207214,3649.83984375,0.8428571224212646,0.9518367648124695,0.2353680580854416
29,0.839175283908844,0.9518120884895325,3.533090114593506,0.23863585293293,3676.84375,0.8476190567016602,0.9551020860671997,0.23111079633235931
30,0.8412371277809143,0.9463449716567993,3.543592691421509,0.23929785192012787,3669.96484375,0.8523809313774109,0.9573242664337158,0.22670748829841614
31,0.8494845628738403,0.9536082148551941,3.5048959255218506,0.23356305062770844,3649.71484375,0.8523809313774109,0.9577777981758118,0.22476136684417725
32,0.8360824584960938,0.941889762878418,3.66847825050354,0.23710587620735168,3676.71484375,0.8523809313774109,0.9577777981758118,0.22284576296806335
33,0.8432989716529846,0.9494398832321167,3.5104732513427734,0.2343970537185669,3690.21484375,0.8523809313774109,0.9575510025024414,0.22242854535579681
34,0.839175283908844,0.9444490075111389,3.4628701210021973,0.23596696555614471,3690.21484375,0.8523809313774109,0.9573242664337158,0.2215762734413147
35,0.8422680497169495,0.9516802430152893,3.430953025817871,0.2333507388830185,3656.46484375,0.8523809313774109,0.957278847694397,0.22103726863861084
36,0.8494845628738403,0.9536527395248413,3.4942214488983154,0.23224589228630066,3669.96484375,0.8523809313774109,0.9573242664337158,0.22019034624099731
37,0.8432989716529846,0.9514209032058716,3.4222447872161865,0.23580233752727509,3676.71484375,0.8523809313774109,0.957278847694397,0.21997089684009552
38,0.8463917374610901,0.9507683515548706,3.4263906478881836,0.2297639548778534,3703.71484375,0.8523809313774109,0.9575056433677673,0.21961504220962524
39,0.8525773286819458,0.9565501809120178,3.399446487426758,0.23133935034275055,3669.96484375,0.8523809313774109,0.9572789669036865,0.21937046945095062
40,0.8360824584960938,0.9517356157302856,3.448051691055298,0.23406703770160675,3690.21484375,0.8523809313774109,0.9572789669036865,0.21923686563968658
41,0.8432989716529846,0.9503602981567383,5.0572545528411865,0.23127511143684387,3703.71875,0.8523809313774109,0.957414984703064,0.21947172284126282
42,0.8402062058448792,0.9516611695289612,3.3651716709136963,0.23279592394828796,3676.71875,0.8523809313774109,0.9572789669036865,0.21945804357528687
43,0.8412371277809143,0.9496737122535706,3.475738525390625,0.23430122435092926,3663.21875,0.8523809313774109,0.9572789669036865,0.21942593157291412
44,0.8474226593971252,0.9507981538772583,3.4452054500579834,0.2315765917301178,3649.84375,0.8523809313774109,0.9572789072990417,0.21927979588508606
45,0.8474226593971252,0.9520245790481567,3.4044971466064453,0.2308741956949234,3669.96875,0.8523809313774109,0.9572789669036865,0.2193978875875473
46,0.839175283908844,0.9508533477783203,3.489658832550049,0.23285619914531708,3669.96875,0.8523809313774109,0.9572789669036865,0.2194368690252304
47,0.8525773286819458,0.9565671682357788,3.469665288925171,0.22790759801864624,3690.21875,0.8523809313774109,0.9572789669036865,0.21940664947032928
48,0.8484535813331604,0.9538272023200989,3.4937100410461426,0.23072592914104462,3696.96875,0.8523809313774109,0.957460343837738,0.21922403573989868
49,0.8463917374610901,0.9557210206985474,3.4200055599212646,0.23060110211372375,3696.96875,0.8523809313774109,0.9574602842330933,0.2192579209804535
