epoch,accuracy,auc,duration,loss,ram_usage,val_accuracy,val_auc,val_loss
0,0.5104166865348816,0.5315402746200562,149.6655375957489,0.6922852993011475,6106.640625,0.523809552192688,0.5404988527297974,0.6909893155097961
1,0.5520833134651184,0.5732795596122742,137.9870936870575,0.6866647005081177,6187.578125,0.5714285969734192,0.6050340533256531,0.6826997995376587
2,0.5718749761581421,0.607119619846344,138.1624355316162,0.676461935043335,6281.96484375,0.5857142806053162,0.6497279405593872,0.659670889377594
3,0.5770833492279053,0.6246337890625,138.27952027320862,0.6676642894744873,6176.09375,0.5952380895614624,0.635136067867279,0.6678722500801086
4,0.581250011920929,0.6378982067108154,138.15854811668396,0.6604014039039612,6266.9453125,0.5761904716491699,0.6494671702384949,0.6376213431358337
5,0.606249988079071,0.667415976524353,138.14519786834717,0.6412513852119446,6124.1171875,0.6333333253860474,0.724297046661377,0.605056881904602
6,0.6145833134651184,0.6886583566665649,138.25239443778992,0.6236609816551208,6238.83203125,0.6142857074737549,0.6841950416564941,0.6253798007965088
7,0.6312500238418579,0.6865103840827942,138.24248576164246,0.6279730200767517,6124.16796875,0.6190476417541504,0.6889455318450928,0.6214540004730225
8,0.612500011920929,0.6894622445106506,138.21274614334106,0.623392641544342,6231.83984375,0.6666666865348816,0.747199535369873,0.5936805605888367
9,0.6343749761581421,0.7101535201072693,138.1710753440857,0.6178095936775208,6204.80859375,0.5857142806053162,0.6512131690979004,0.6519663333892822
